Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
ChitChat,ui,personalchatroomui,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: clint_listofclintthreadclass
ChitChat,clint,clintsocket,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ServerPort; sendingstream
ChitChat,server,serversocket,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: clint_list
